,collisions,step,episode_steps,reward,wait_average,accumulated_wait,throughput,stops
247,60.0,31365,292,-731893.0,406.6072222222222,731893.0,1800,0.8127777777777778
248,25.0,31428,63,-234558.0,128.38423645320196,234558.0,1827,0.8472906403940886
249,7.0,31462,34,-44415.0,24.661299278178788,44415.0,1801,0.6696279844530816
250,9.0,31498,36,-42697.0,24.0140607424072,42697.0,1778,0.68785151856018
251,12.0,31539,41,-60586.5,35.14298143851508,60586.5,1724,0.755800464037123
252,27.0,31615,76,-348187.5,199.76333907056798,348187.5,1743,0.8525530694205393
253,4.0,31648,33,-70770.5,40.05121675155631,70770.5,1767,0.7119411431805319
254,7.0,31678,30,-49813.5,28.04814189189189,49813.5,1776,0.6829954954954955
255,7.0,31709,31,-61581.5,35.22969107551487,61581.5,1748,0.6927917620137299
256,6.0,31738,29,-49733.0,28.516628440366972,49733.0,1744,0.6668577981651376
257,11.0,31769,31,-48216.5,27.90306712962963,48216.5,1728,0.6840277777777778
258,13.0,31810,41,-73614.5,40.6934770591487,73614.5,1809,0.7523493642896628
259,13.0,31847,37,-73428.0,41.25168539325843,73428.0,1780,0.7634831460674157
260,3.0,31882,35,-81869.0,45.00769653655855,81869.0,1819,0.7152281473336999
261,8.0,31916,34,-44584.5,24.83816155988858,44584.5,1795,0.6724233983286908
262,8.0,31953,37,-44174.0,24.0599128540305,44174.0,1836,0.6895424836601307
263,6.0,31988,35,-78443.5,44.44390934844193,78443.5,1765,0.7365439093484419
264,8.0,32023,35,-59417.5,34.10878300803674,59417.5,1742,0.7106773823191733
265,10.0,32058,35,-74330.0,40.70646221248631,74330.0,1826,0.7278203723986857
266,7.0,32092,34,-83889.5,45.17474421109316,83889.5,1857,0.7318255250403877
267,5.0,32128,36,-55200.5,31.66982214572576,55200.5,1743,0.7286288009179576
268,8.0,32160,32,-70549.5,39.56786315199103,70549.5,1783,0.715086932136848
269,5.0,32193,33,-93987.5,51.30322052401747,93987.5,1832,0.7237991266375546
270,7.0,32229,36,-43467.5,24.148611111111112,43467.5,1800,0.685
271,6.0,32261,32,-45123.5,25.222750139742875,45123.5,1789,0.6623812185578536
272,7.0,32293,32,-44858.5,25.032645089285715,44858.5,1792,0.6646205357142857
273,6.0,32326,33,-45898.5,26.093519044911883,45898.5,1759,0.6623081296191018
274,7.0,32363,37,-40212.5,22.822077185017026,40212.5,1762,0.6708286038592508
275,7.0,32395,32,-89279.0,53.524580335731414,89279.0,1668,0.6984412470023981
276,3.0,32427,32,-43892.5,25.312860438292965,43892.5,1734,0.6551326412918108
277,3.0,32459,32,-44026.0,24.595530726256982,44026.0,1790,0.664804469273743
278,4.0,32491,32,-50372.5,27.436002178649236,50372.5,1836,0.6813725490196079
279,6.0,32527,36,-70926.0,40.32177373507675,70926.0,1759,0.7180216031836271
280,10.0,32558,31,-48454.5,27.672472872644203,48454.5,1751,0.7024557395773844
281,5.0,32591,33,-68065.0,36.85165132647536,68065.0,1847,0.7092582566323768
282,10.0,32620,29,-51626.5,28.36620879120879,51626.5,1820,0.6664835164835164
283,5.0,32649,29,-47027.5,27.84339846062759,47027.5,1689,0.6672587329780936
284,10.0,32679,30,-51873.5,28.627759381898453,51873.5,1812,0.6777041942604857
285,10.0,32711,32,-46232.5,25.54281767955801,46232.5,1810,0.6580110497237569
286,8.0,32744,33,-47106.0,25.53170731707317,47106.0,1845,0.6791327913279133
287,5.0,32774,30,-49917.5,28.249858517260893,49917.5,1767,0.6876061120543294
288,5.0,32807,33,-77750.0,44.42857142857143,77750.0,1750,0.7022857142857143
289,4.0,32838,31,-52506.5,29.316862088218873,52506.5,1791,0.6929089893914014
290,7.0,32869,31,-51244.0,28.109709270433353,51244.0,1823,0.6785518376302797
291,5.0,32901,32,-47808.0,26.025040827436037,47808.0,1837,0.6679368535655961
292,10.0,32931,30,-83176.0,44.57449088960343,83176.0,1866,0.707395498392283
293,8.0,32962,31,-43613.5,24.68222976796831,43613.5,1767,0.645727221279004
294,4.0,32993,31,-47109.5,26.24484679665738,47109.5,1795,0.6685236768802229
295,7.0,33023,30,-51567.5,28.47459966869133,51567.5,1811,0.6913307564881281
296,4.0,33055,32,-63439.0,36.29233409610984,63439.0,1748,0.7025171624713958
297,7.0,33091,36,-59559.5,32.725,59559.5,1820,0.7478021978021978
298,9.0,33125,34,-44320.5,25.011568848758465,44320.5,1772,0.6969525959367946
299,5.0,33158,33,-49520.5,27.99349915206331,49520.5,1769,0.6964386659129451
300,8.0,33191,33,-45535.5,25.438826815642457,45535.5,1790,0.6636871508379888
301,8.0,33221,30,-50028.0,28.718714121699197,50028.0,1742,0.6831228473019518
302,8.0,33251,30,-49712.0,27.741071428571427,49712.0,1792,0.6768973214285714
303,8.0,33285,34,-79749.0,44.827993254637434,79749.0,1779,0.7284991568296796
304,12.0,33318,33,-102832.0,56.75055187637969,102832.0,1812,0.7306843267108167
305,8.0,33349,31,-52273.0,28.86416344561016,52273.0,1811,0.6780784097183876
306,5.0,33381,32,-45025.0,25.802292263610315,45025.0,1745,0.6630372492836676
307,6.0,33412,31,-44717.5,25.22137619853356,44717.5,1773,0.643542019176537
308,14.0,33443,31,-47730.0,26.784511784511785,47730.0,1782,0.6739618406285073
309,13.0,33475,32,-49467.5,27.900451212633953,49467.5,1773,0.6993795826283136
310,9.0,33507,32,-49322.5,28.184285714285714,49322.5,1750,0.68
311,4.0,33537,30,-51605.0,28.57419712070875,51605.0,1806,0.6971207087486158
312,7.0,33569,32,-49468.0,28.10681818181818,49468.0,1760,0.6829545454545455
313,12.0,33603,34,-50950.5,28.67220033764772,50950.5,1777,0.6955543050084412
314,9.0,33636,33,-47776.0,27.284980011422043,47776.0,1751,0.6824671616219303
315,7.0,33668,32,-49935.0,28.2597623089983,49935.0,1767,0.6938313525749858
316,9.0,33699,31,-55377.0,30.178201634877386,55377.0,1835,0.6970027247956403
317,5.0,33728,29,-52867.0,30.123646723646722,52867.0,1755,0.6928774928774929
318,2.0,33757,29,-51385.5,28.658951477969882,51385.5,1793,0.67930842163971
319,5.0,33786,29,-52371.0,29.06270810210877,52371.0,1802,0.6947835738068813
320,9.0,33816,30,-55201.5,30.59950110864745,55201.5,1804,0.6895787139689579
321,9.0,33845,29,-50594.0,27.616812227074234,50594.0,1832,0.662117903930131
322,11.0,33875,30,-49639.0,28.994742990654206,49639.0,1712,0.677570093457944
323,9.0,33904,29,-53420.0,29.064200217627857,53420.0,1838,0.6735582154515778
324,9.0,33933,29,-50458.0,27.923630326508025,50458.0,1807,0.6679579413392362
325,11.0,33963,30,-46546.0,27.396115361977635,46546.0,1699,0.6597998822836962
326,5.0,33993,30,-51390.0,28.70949720670391,51390.0,1790,0.6865921787709497
327,11.0,34023,30,-50896.0,28.22850804215197,50896.0,1803,0.6860787576261785
328,8.0,34054,31,-53015.0,29.403771491957848,53015.0,1803,0.6916250693288963
329,1.0,34084,30,-47472.0,26.988061398521886,47472.0,1759,0.686753837407618
